re,re_index,ion_type,pos,charge,base_ion_spec,truth,candidate_group,in_manual_annotation,in_fragments_selected,manual_row_count,manual_matched_rows,manual_selected_rows,manual_labels_json,manual_best_ion_score,manual_best_gof_confidence,manual_best_peaks_matched,manual_best_ion_corr_score,manual_min_abs_ppm_error,fragments_status,fragments_stage,fragments_label,fragments_variant_suffix,fragments_score,fragments_css,fragments_rawcos,fragments_coverage,fragments_match_count,fragments_unexplained,fragments_missing_core,fragments_interference,fragments_s2n,fragments_ppm_rmse,fragments_fit_score,fragments_correlation,fragments_pc_missing_peaks,fragments_mass_error_std,fragments_obs_rel_int,fragments_abs_anchor_ppm,fragments_raw_candidate,fragments_selected_final,diagnose_best_label,diagnose_reason,diagnose_ok,diagnose_isodec_accepted,diagnose_final_cosine,diagnose_isodec_css,diagnose_raw_cosine,diagnose_abs_anchor_ppm,diagnose_matched_peaks,diagnose_area_covered,diagnose_top_peaks,diagnose_anchor_within_ppm
RE8,8,b,15,1,b15^1+,0,fp_selected,0,1,0,0,0,[],,,,,,selected_final,accepted,b15-OxidizedLoop^1+ | 12.4 ppm | score=0.377 | css=0.806,-OxidizedLoop,0.37667791795975464,0.8062148700072613,0.8183307402276091,0.6936253719495459,2.0,0.6779975278121138,0.2131508107537048,0.9435657705585705,1.6060955468229414,2.5261256204507934,0.48144671666878774,0.8177753857674464,66.66666666666666,1.8475854762971005,0.00018151079136690648,12.431204603694956,1,1,b15-OxidizedLoop^1+,ok,1,1,0.8062148700072613,0.8062148700072613,0.8183307402276091,12.431204603694956,2.0,0.2091064894932014,0.0,1
RE8,8,b,24,1,b24^1+,0,fp_selected,0,1,0,0,0,[],,,,,,selected_final,accepted,b24-OxidizedLoop^1+ | 10.2 ppm | score=0.543 | css=0.820,-OxidizedLoop,0.5428297722951825,0.8195628871084675,0.67268185908061,0.9908590134010151,6.0,0.6202237504416355,0.0,0.8274511336893027,13.99989657740092,4.6427456670856255,0.5185041658539947,0.622959769602454,14.285714285714285,9.009140637763261,0.0006066187050359712,10.217728670836127,1,1,b24-OxidizedLoop^1+,ok,1,1,0.8195628871084675,0.8195628871084675,0.67268185908061,10.217728670836127,6.0,0.24075371644511087,0.0,1
RE8,8,b,35,2,b35^2+,0,fp_selected,0,1,0,0,0,[],,,,,,selected_final,accepted,b35-OxidizedLoop^2+ | 1.2 ppm | score=0.555 | css=0.742,-OxidizedLoop,0.5546593450463331,0.7424353270566009,0.742435327056601,1.0,9.0,0.607719811197806,0.0,0.7541076768982689,1.1469430031110663,4.332894914346982,0.7550097747045501,-0.16749822488458618,0.0,5.385546961582455,0.00014352517985611511,1.181886245784434,1,1,b35-OxidizedLoop^2+,ok,1,1,0.7424353270566009,0.7424353270566009,0.742435327056601,1.181886245784434,9.0,0.15151709126148757,1.0,1
RE8,8,b,36,2,b36^2+,1,tp_selected,1,1,1,1,0,"[""b36 2+""]",2.639,71.22,4.0,2.994,0.63,selected_final,accepted,b36-OxidizedLoop^2+ | 3.3 ppm | score=0.655 | css=0.950,-OxidizedLoop,0.6547008021500265,0.9503254816270249,0.9489908499230354,1.0,9.0,0.6400714274401735,0.0,0.7474263002558245,3.023313923134635,6.499138836784381,0.8319769694482493,0.8784835555487465,0.0,8.598299402235392,0.0005992805755395684,3.3142923073859714,1,1,b36-OxidizedLoop^2+,ok,1,1,0.9503254816270249,0.9503254816270249,0.9489908499230354,3.3142923073859714,9.0,0.33327280167198514,0.0,1
RE8,8,c,2,1,c2^1+,0,fp_selected,0,1,0,0,0,[],,,,,,selected_final,accepted,c2^1+ | 16.1 ppm | score=0.384 | css=0.858 | %H=57 | %2H=0 | -mix,-Thiol,0.38401627586810644,0.8581176380367947,0.8581176380367949,0.5454016601699906,2.0,0.39337474120082816,0.3991516680619446,0.0,0.05029742083208203,3.484893139789596,0.3487843794897981,0.40433405538882916,66.66666666666666,5.218075476068098,8.431654676258993e-06,16.132627072786264,1,1,c2-ThiylRadical^1+,ok,1,1,0.7883798263735928,0.7883798263735928,0.7883798263735928,18.345211320383758,2.0,0.341332867494824,0.0,1
RE8,8,c,3,1,c3^1+,0,fp_selected,1,1,1,0,0,"[""c3 1+""]",0.0,0.0,2.0,0.0,3.59,selected_final,accepted,c3-ThiylRadical^1+ | 0.4 ppm | score=0.777 | css=0.989 | %H=100 | %2H=0 | +mix,-ThiylRadical,0.7767906581035778,0.988907305078494,0.5642848857588398,0.9461564556751955,2.0,0.3308305512025618,0.05384354432480465,0.12907688214950785,1.620323097858923,0.9616671002557944,0.9258949341848032,0.9961307922332809,33.33333333333333,1.2356403082836604,0.0002926618705035971,0.407511031784551,1,1,c3^1+,ok,1,1,0.988909671950401,0.988909671950401,0.9974481295312753,1.1041329511178064,2.0,0.653341255024869,0.0,1
RE8,8,c,4,1,c4^1+,0,manual_negative_only,1,0,1,0,0,"[""c4 1+""]",0.653,99.08,1.0,-0.028,8.94,trace_only,quality_gates,c4-Persulfide^1+,-Persulfide,0.12812572195478486,0.7573358495689502,0.7036322596219797,0.2142093931502987,2.0,0.42,0.797,0.42,0.14,3.7,0.021,,71.4,,1.6402877697841726e-05,19.43887076317953,0,0,c4^1+,failed_isodec_rules,0,0,,0.07863876126390411,0.07863876126390411,21.832329387555117,1.0,0.08091774000000022,1.0,1
RE8,8,c,5,1,c5^1+,1,tp_selected,1,1,1,1,1,"[""c5 1+""]",8.459,97.68,4.0,6.417,0.65,selected_final,accepted,c5-ThiylRadical^1+ | -4.2 ppm | score=0.631 | css=0.907 | %H=100 | %2H=0 | +mix,-ThiylRadical,0.630505507020323,0.9065298849784746,0.4389396608411649,0.9201141621914902,2.0,0.34432820137968845,0.0677824350238615,0.0,0.3271169530322788,6.921974355641873,0.7679500664275641,0.9211206765280592,50.0,7.552187799449463,6.443165467625898e-05,4.192314827843127,1,1,c5^1+,ok,1,1,0.9065637125694764,0.9065637125694764,0.9565020077533923,5.217969387234058,2.0,0.5179905888802595,1.0,1
RE8,8,c,6,1,c6^1+,1,tp_selected,1,1,1,1,1,"[""c6 1+""]",3.998,99.42,4.0,2.828,1.06,selected_final,accepted,c6-Persulfide^1+ | 1.5 ppm | score=0.853 | css=0.997 | %H=100 | %2H=0 | -mix,-Persulfide,0.8532498486322083,0.9974355603886089,0.6753816825352943,1.0,4.0,0.21971071030217848,0.0,0.136274111550156,3.0644591745459793,2.897755369956821,0.9464533662785709,0.997613498974137,0.0,4.403735137582737,0.0006343884892086332,1.5495786503682951,1,1,c6^1+,ok,1,1,0.927181539209734,0.927181539209734,0.9387084858792911,1.92986671995136,3.0,0.40062809235109126,1.0,1
RE8,8,c,7,1,c7^1+,1,tp_selected,1,1,1,1,1,"[""c7 1+""]",9.878,99.88,3.0,6.166,3.77,selected_final,accepted,c7-OxidizedLoop^1+ | 4.9 ppm | score=0.810 | css=0.976,-OxidizedLoop,0.8096410248513013,0.9761626546539914,0.9986112941893147,1.0,5.0,0.294305352234442,0.0,0.19341077602425538,3.2132859752553777,2.8879885577066644,0.9100002899164891,0.9962624817335746,0.0,6.370926682854668,0.0006794964028776978,4.874496591275613,1,1,c7-OxidizedLoop^1+,ok,1,1,0.9761626546539914,0.9761626546539914,0.9986112941893147,4.874496591275613,5.0,0.7508581464937615,1.0,1
RE8,8,c,8,1,c8^1+,1,tp_selected,1,1,1,1,1,"[""c8 1+""]",4.332,98.97,4.0,3.345,4.25,selected_final,accepted,c8-OxidizedLoop^1+ | 3.9 ppm | score=0.678 | css=0.956,-OxidizedLoop,0.6775283697963893,0.9558951763470678,0.9558951763470678,0.9919781189514284,4.0,0.5154172839506174,0.0,0.4550503143256992,0.4740365631337066,4.095364158653154,0.8516665533254882,0.9474131399227781,20.0,5.205893909853085,0.00010208633093525179,3.933968609111548,1,1,c8-OxidizedLoop^1+,ok,1,1,0.9558951763470678,0.9558951763470678,0.9558951763470678,3.933968609111548,4.0,0.4595220396067238,1.0,1
RE8,8,c,9,1,c9^1+,1,tp_selected,1,1,1,1,1,"[""c9 1+""]",8.31,99.92,3.0,6.472,3.59,selected_final,accepted,c9-OxidizedLoop^1+ | 0.4 ppm | score=0.745 | css=0.985,-OxidizedLoop,0.745134181164237,0.9853503629921753,0.9889240496180586,1.0,5.0,0.412122740931544,0.0,0.3016926482013198,1.8102720440301219,3.4917566427659525,0.8351247772546614,0.9777250447152696,0.0,8.181532132206733,0.0003979136690647482,0.44095410201314567,1,1,c9-OxidizedLoop^1+,ok,1,1,0.9853503629921753,0.9853503629921753,0.9889240496180586,0.44095410201314567,5.0,0.6264446277581499,1.0,1
RE8,8,c,10,1,c10^1+,1,tp_selected,1,1,1,1,1,"[""c10 1+""]",15.229,99.98,3.0,9.185,2.29,selected_final,accepted,c10-OxidizedLoop^1+ | 3.3 ppm | score=0.908 | css=0.993,-OxidizedLoop,0.9082349542709004,0.9925076596262753,0.9951564882524618,1.0,5.0,0.13056360387109267,0.0,0.0762401150516312,47.36405858686977,2.699559607047195,0.891175816619397,0.9948218981438784,0.0,4.583077342298043,0.010618705035971223,3.275479634683007,1,1,c10-OxidizedLoop^1+,ok,1,1,0.9925076596262753,0.9925076596262753,0.9951564882524618,3.275479634683007,5.0,0.9687719682309467,1.0,1
RE8,8,c,11,2,c11^2+,0,fp_selected,0,1,0,0,0,[],,,,,,selected_final,accepted,c11-OxidizedLoop^2+ | 3.9 ppm | score=0.554 | css=0.941,-OxidizedLoop,0.553657661771561,0.9408776667033,0.9408776667032999,0.7841951508198078,2.0,0.49200564843073835,0.15835975504066957,0.0,0.20063981677864823,4.789636663479535,0.6548469289500176,0.9127378360077507,60.0,3.8819733074062373,4.073381294964029e-05,3.927691227345681,1,1,c11-OxidizedLoop^2+,ok,1,1,0.9408776667033,0.9408776667033,0.9408776667032999,3.927691227345681,2.0,0.41637738805630203,1.0,1
RE8,8,c,13,2,c13^2+,1,tp_selected,1,1,1,1,1,"[""c13 2+""]",7.628,99.34,4.0,4.887,4.62,selected_final,accepted,c13-OxidizedLoop^2+ | 0.2 ppm | score=0.681 | css=0.979,-OxidizedLoop,0.6809827659712814,0.9789630659928218,0.9858562952782226,0.9100721968440051,3.0,0.5048657461659958,0.0,0.4218367006972704,0.8122503315767859,2.231312068660301,0.8082053264925253,0.9780366680291677,50.0,2.017970091033242,0.00017007194244604318,0.16065714478465093,1,1,c13-OxidizedLoop^2+,ok,1,1,0.9789630659928218,0.9789630659928218,0.9858562952782226,0.16065714478465093,3.0,0.5069694212523566,1.0,1
RE8,8,c,14,2,c14^2+,1,fn_missed,1,0,1,1,1,"[""c14 2+""]",3.074,90.96,4.0,2.482,6.14,trace_only,quality_gates,c14-OxidizedLoop^2+,-OxidizedLoop,0.4697719424026166,0.9140030728055331,0.9650481142594869,0.9229891853447908,4.0,0.783,0.0,0.575,0.53,7.23,0.836,,33.3,,8.510791366906475e-05,0.6558158702116542,0,0,c14-OxidizedLoop^2+,ok,1,1,0.9140030728055331,0.9140030728055331,0.9650481142594869,0.6558158702116542,4.0,0.1531829473184939,0.0,1
RE8,8,c,15,2,c15^2+,0,manual_negative_only,1,0,1,0,0,"[""c15 2+""]",1.347,94.58,3.0,0.498,0.63,trace_only,quality_gates,c15-OxidizedLoop^2+,-OxidizedLoop,0.0601323800484601,0.7620897616321662,0.5167196785934369,0.14087646116245042,4.0,0.59,1.0,0.481,0.35,4.62,0.005,,63.6,,7.525179856115109e-05,3.8397906276934624,0,0,c15-OxidizedLoop^2+,ok,1,1,0.8530349835345591,0.8530349835345591,0.853034983534559,6.222297264862602,4.0,0.48384299316483903,0.0,1
RE8,8,c,17,2,c17^2+,1,tp_selected,1,1,1,1,1,"[""c17 2+""]",7.32,95.85,3.0,5.625,2.66,selected_final,accepted,c17-OxidizedLoop^2+ | 1.8 ppm | score=0.631 | css=0.971,-OxidizedLoop,0.6307571212115418,0.970839592638256,0.9784816024209584,0.984947554780114,5.0,0.5990108221928407,0.0,0.44239857273210126,0.5334036559846146,5.477488582856179,0.7791836529329192,0.951806407252172,28.57142857142857,6.045678461162568,0.00011784172661870502,1.7575855743009154,1,1,c17-OxidizedLoop^2+,ok,1,1,0.970839592638256,0.970839592638256,0.9784816024209584,1.7575855743009154,5.0,0.4859594946651526,1.0,1
RE8,8,c,20,2,c20^2+,0,fp_selected,0,1,0,0,0,[],,,,,,selected_final,accepted,c20-OxidizedLoop^2+ | 10.2 ppm | score=0.357 | css=0.731 | %H=0 | %2H=100 | -mix,-OxidizedLoop,0.35670121359635654,0.7306389792474711,0.5119533486885357,0.681654902521775,6.0,0.6467874540252481,0.3911573407980752,0.5514060613668164,1.1104766766664047,3.3709559496116683,0.40830195348599047,0.3607159529667591,14.285714285714285,6.3202441564134775,0.0002494964028776978,10.227972741701981,1,1,c20-OxidizedLoop^2+,ok,1,1,0.8377023035334603,0.8377023035334603,0.8377023035334604,5.128909227569438,6.0,0.32452529041019756,0.0,1
RE8,8,c,21,2,c21^2+,1,tp_selected,1,1,1,1,1,"[""c21 2+""]",5.211,79.06,5.0,5.221,1.3,selected_final,accepted,c21-OxidizedLoop^2+ | 2.5 ppm | score=0.566 | css=0.884,-OxidizedLoop,0.5664746418941424,0.8838820521940565,0.8870263200712584,0.980894213571488,6.0,0.6623318889502249,0.0,0.4533296425181904,0.6043987719552886,3.150788249784065,0.6865477164178275,0.6904070946343374,14.285714285714285,7.2770818923465015,0.0001023021582733813,2.5193445443025633,1,1,c21-OxidizedLoop^2+,ok,1,1,0.8838820521940565,0.8838820521940565,0.8870263200712584,2.5193445443025633,6.0,0.21663383818652174,1.0,1
RE8,8,c,24,1,c24^1+,0,fp_selected,0,1,0,0,0,[],,,,,,selected_final,accepted,c24-OxidizedLoop^1+ | 6.2 ppm | score=0.604 | css=0.839 | %H=100 | %2H=0 | -mix,-OxidizedLoop,0.6038081538136187,0.8393941774704355,0.48290627840404116,0.9907865367036399,6.0,0.6851722150593876,0.0,0.6862644906164811,334.4078944113483,2.4509831733693397,0.44543970604246863,0.8108829021404367,14.285714285714285,3.5137958172754793,0.034158273381294964,6.161828323752362,1,1,c24-OxidizedLoop^1+,failed_isodec_rules,0,0,,0.6158451133232572,0.6158834463401087,4.10973903798158,6.0,0.2836837777064675,0.0,1
RE8,8,c,32,3,c32^3+,1,tp_selected,1,1,1,1,1,"[""c32 3+""]",2.736,58.25,4.0,3.33,2.05,selected_final,accepted,c32-OxidizedLoop^3+ | -5.9 ppm | score=0.559 | css=0.946 | %H=0 | %2H=100 | -mix,-OxidizedLoop,0.5586769841981848,0.9459887198083206,0.5478196566296808,0.9719385991104568,6.0,0.6963666432176929,0.0,0.425959844604921,0.5527011589542464,7.901885326450382,0.7271358430244539,0.9129773383650563,25.0,10.671282646985244,0.00012446043165467626,5.935397713008919,1,1,c32-OxidizedLoop^3+,failed_isodec_rules,0,0,,0.6359035804307046,0.6874287730236749,4.451997362029123,4.0,0.1740290120647374,0.0,1
RE8,8,c,34,3,c34^3+,1,tp_selected,1,1,1,1,1,"[""c34 3+""]",1.978,59.2,4.0,3.38,1.7,selected_final,accepted,c34-OxidizedLoop^3+ | -5.6 ppm | score=0.512 | css=0.801,-OxidizedLoop,0.511909699719991,0.8012480471249099,0.8588514960604103,0.9376297685893337,7.0,0.6529576509521665,0.0,0.45671972394350724,0.43739106756339263,8.580389144485848,0.6186922437146388,0.6350415873873944,22.22222222222222,9.399315263684564,9.27338129496403e-05,5.647705064095764,1,1,c34-OxidizedLoop^3+,ok,1,1,0.8012480471249099,0.8012480471249099,0.8588514960604103,5.647705064095764,7.0,0.28300904251521075,1.0,1
RE8,8,c,35,2,c35^2+,1,tp_selected,1,1,1,1,1,"[""c35 2+""]",3.546,92.06,6.0,3.733,2.85,selected_final,accepted,c35-OxidizedLoop^2+ | -13.2 ppm | score=0.451 | css=0.731 | %H=85 | %2H=15 | +mix,-OxidizedLoop,0.45138988813643677,0.730911441003219,0.4569243864451043,0.8559370586284504,9.0,0.6352007127969324,0.0,0.764896727031852,1.4521502279790737,8.664632035981674,0.6790249772376056,0.7404531247364091,43.75,9.549754300952877,0.00024237410071942445,13.164120799947852,1,1,c35-OxidizedLoop^2+,ok,1,1,0.8072380238313257,0.8072380238313257,0.8072380238313257,3.8252120315412004,9.0,0.11117961844659746,0.0,1
RE8,8,c,36,2,c36^2+,1,tp_selected,1,1,1,1,0,"[""c36 2+""]",6.259,96.83,8.0,7.368,2.41,selected_final,accepted,c36-OxidizedLoop^2+ | 0.2 ppm | score=0.426 | css=0.870 | %H=49 | %2H=0 | +mix,-OxidizedLoop,0.4261306865572338,0.8704195082758894,0.564858046012714,0.5680774931460107,11.0,0.5654815401002058,0.3332414344637611,0.6909458097233547,2.5558714585781135,4.0588151971456,0.327437823295598,0.10795653672845984,38.88888888888889,5.264051818202965,0.0005048201438848921,0.18249995653475898,1,1,c36-OxidizedLoop^2+,ok,1,1,0.8812344039721218,0.8812344039721218,0.8812344039721217,0.18249995653475898,9.0,0.2744678239321672,1.0,1
RE8,8,c,36,3,c36^3+,1,tp_selected,1,1,1,1,1,"[""c36 3+""]",4.526,51.74,6.0,6.329,2.47,selected_final,accepted,c36-OxidizedLoop^3+ | 1.3 ppm | score=0.597 | css=0.861,-OxidizedLoop,0.5970339696758744,0.8605320663474842,0.8585045903437772,1.0,9.0,0.6826472594951103,0.0,0.5508113658823945,1.063017200559634,3.9230624302744874,0.574108601770294,0.4610966708790741,0.0,3.5724985216606306,0.0002396402877697842,1.302351566360554,1,1,c36-OxidizedLoop^3+,ok,1,1,0.8605320663474842,0.8605320663474842,0.8585045903437772,1.302351566360554,9.0,0.30629598365518773,1.0,1
RE12,12,b,24,1,b24^1+,0,fp_selected,0,1,0,0,0,[],,,,,,selected_final,accepted,b24-OxidizedLoop^1+ | 9.6 ppm | score=0.426 | css=0.717,-OxidizedLoop,0.4256050973101507,0.7173990687663554,0.6907555515410692,0.8487413414405226,5.0,0.6959271560012077,0.0,0.8342333835426712,16.6377985173594,5.641469961903897,0.37889258732925374,0.5235283212805927,28.57142857142857,7.5996833342298835,0.0005300699300699301,9.64219006757583,1,1,b24-OxidizedLoop^1+,ok,1,1,0.7667759782795146,0.7667759782795146,0.6907555515410692,9.64219006757583,6.0,0.12280494779457343,0.0,1
RE12,12,b,35,2,b35^2+,0,fp_selected,0,1,0,0,0,[],,,,,,selected_final,accepted,b35-OxidizedLoop^2+ | -1.3 ppm | score=0.504 | css=0.788,-OxidizedLoop,0.5044496519139823,0.788210634639542,0.829770255031013,0.8866672275035735,8.0,0.6912965464791208,0.0,0.7952316067659977,1.5442346400581861,9.323911033548638,0.7257407234359308,0.3596783938682914,11.11111111111111,11.614576966035974,0.0003487512487512487,1.2826587523701074,1,1,b35-OxidizedLoop^2+,ok,1,1,0.829770255031013,0.829770255031013,0.829770255031013,1.2826587523701074,9.0,0.13970628282645436,1.0,1
RE12,12,b,36,2,b36^2+,0,fp_selected,1,1,1,0,0,"[""b36 2+""]",9.106,96.45,6.0,6.815,0.02,selected_final,accepted,b36-OxidizedLoop^2+ | 1.0 ppm | score=0.684 | css=0.952,-OxidizedLoop,0.6835912101783792,0.9522104261802645,0.9522104261802643,1.0,9.0,0.5710794204887104,0.0,0.7318368360673186,3.248943605577472,6.157514819049925,0.8454417146574872,0.8227618063073084,0.0,8.660212434418693,0.0007196803196803198,0.9693998563646006,1,1,b36-OxidizedLoop^2+,ok,1,1,0.9522104261802645,0.9522104261802645,0.9522104261802643,0.9693998563646006,9.0,0.3672125338730128,1.0,1
RE12,12,c,3,1,c3^1+,1,tp_selected,1,1,1,1,1,"[""c3 1+""]",15.681,99.95,4.0,9.13,7.3,selected_final,accepted,c3^1+ | 5.0 ppm | score=0.726 | css=0.962,-Thiol,0.7257031316396461,0.9623701429103217,0.9804204985919814,0.94614260815541,2.0,0.3387597353165075,0.05385739184458993,0.21598578054267215,2.3863879334554103,3.634254397290425,0.8621640846740418,0.9739108137309689,33.33333333333333,4.66796746078392,0.0004215784215784216,4.953454311754777,1,1,c3^1+,ok,1,1,0.9623701429103217,0.9623701429103217,0.9804204985919814,4.953454311754777,2.0,0.5825018445862857,1.0,1
RE12,12,c,5,1,c5^1+,0,fp_selected,0,1,0,0,0,[],,,,,,selected_final,accepted,c5^1+ | 0.3 ppm | score=0.540 | css=0.753 | %H=77 | %2H=0 | -mix,-Thiol,0.5398970406416339,0.7532069733421576,0.5835973508950949,0.9411318287948676,5.0,0.5049043648847473,0.0,0.39008285862247527,0.19686929101922485,5.894967932928307,0.5502215007062085,0.6737901616874804,28.57142857142857,8.754255289183993,3.7372627372627374e-05,0.34253086927541426,1,1,c5-ThiylRadical^1+,failed_isodec_rules,0,0,,0.0,0.7857181976305851,1.3701248850318608,0.0,0.0,0.0,1
RE12,12,c,6,1,c6^1+,1,tp_selected,1,1,1,1,1,"[""c6 1+""]",4.359,100.0,3.0,2.586,1.38,selected_final,accepted,c6-Persulfide^1+ | 3.6 ppm | score=0.850 | css=0.998 | %H=100 | %2H=0 | -mix,-Persulfide,0.8503871019458067,0.9978796953291855,0.6885383537103165,0.9745052473677356,3.0,0.21044913117331165,0.0,0.1858395526447485,2.4786558418572886,1.2671001269947153,0.9172999324990866,0.9990902536560071,25.0,1.0390845189159774,0.0005320679320679321,3.6476541928300255,1,1,c6^1+,ok,1,1,0.9355344097816506,0.9355344097816506,0.9553118389515738,0.04400347576381537,4.0,0.5317630275301701,1.0,1
RE12,12,c,7,1,c7^1+,1,tp_selected,1,1,1,1,1,"[""c7 1+""]",15.067,100.0,2.0,8.898,5.58,selected_final,accepted,c7-OxidizedLoop^1+ | 4.2 ppm | score=0.754 | css=0.975,-OxidizedLoop,0.7544611497992061,0.9753714878180977,0.9907894932528256,0.9930314320532885,4.0,0.30045476792083015,0.0,0.21139192219712888,3.9175562505759713,5.450246358129817,0.8485314859471755,0.9902951688088192,20.0,12.001806922376115,0.0008671328671328671,4.196352936261668,1,1,c7-OxidizedLoop^1+,ok,1,1,0.9753714878180977,0.9753714878180977,0.9907894932528256,4.196352936261668,4.0,0.8018231784614936,1.0,1
RE12,12,c,8,1,c8^1+,1,tp_selected,1,1,1,1,1,"[""c8 1+""]",14.921,99.69,2.0,8.872,4.16,selected_final,accepted,c8-OxidizedLoop^1+ | 5.0 ppm | score=0.604 | css=0.903,-OxidizedLoop,0.6044611114603516,0.9034167981017074,0.9212290146585919,0.959921665515957,3.0,0.49522435687277344,0.0,0.2647363142898076,0.8630521253922895,6.29476990585752,0.7237945910013357,0.8511011147146612,40.0,9.327902526115176,0.00019620379620379622,5.047355951299662,1,1,c8-OxidizedLoop^1+,ok,1,1,0.9034167981017074,0.9034167981017074,0.9212290146585919,5.047355951299662,3.0,0.34049802709330534,1.0,1
RE12,12,c,9,1,c9^1+,1,tp_selected,1,1,1,1,1,"[""c9 1+""]",4.5,99.06,3.0,2.379,0.15,selected_final,accepted,c9-OxidizedLoop^1+ | 4.5 ppm | score=0.690 | css=0.983,-OxidizedLoop,0.6904201522344815,0.9830351404629378,0.9844007112520662,0.9629953909237784,4.0,0.3831416575392479,0.0,0.2256582414812438,1.5916581240502052,4.352221812635121,0.8049312384451612,0.9689020107151526,20.0,14.718985919447622,0.00037322677322677324,4.509607910981682,1,1,c9-OxidizedLoop^1+,ok,1,1,0.9830351404629378,0.9830351404629378,0.9844007112520662,4.509607910981682,3.0,0.5663088594414021,1.0,1
RE12,12,c,10,1,c10^1+,1,tp_selected,1,1,1,1,1,"[""c10 1+""]",15.346,99.99,4.0,9.026,2.47,selected_final,accepted,c10-OxidizedLoop^1+ | 3.5 ppm | score=0.904 | css=0.993,-OxidizedLoop,0.9041782681871346,0.9929898302007044,0.9974993688624667,1.0,5.0,0.14237035789894226,0.0,0.07471134870660945,43.85530946715755,2.962802895526048,0.9240061516053886,0.9976229094658392,0.0,4.708124877792217,0.01062937062937063,3.4631862039556762,1,1,c10-OxidizedLoop^1+,ok,1,1,0.9929898302007044,0.9929898302007044,0.9974993688624667,3.4631862039556762,5.0,0.9250137515252036,1.0,1
RE12,12,c,11,2,c11^2+,0,fp_selected,0,1,0,0,0,[],,,,,,selected_final,accepted,c11-OxidizedLoop^2+ | 4.3 ppm | score=0.525 | css=0.900,-OxidizedLoop,0.5250147244689234,0.8997271737072675,0.8997271737072675,0.7996798372348011,3.0,0.6072235471319192,0.15835975504066946,0.4632504288164666,0.26439380479307206,5.75916281179119,0.7276931907148486,0.7692019038796887,40.0,4.153706687741345,5.51948051948052e-05,4.254862508180294,1,1,c11-OxidizedLoop^2+,ok,1,1,0.8997271737072675,0.8997271737072675,0.8997271737072675,4.254862508180294,3.0,0.28541751219984496,1.0,1
RE12,12,c,13,2,c13^2+,0,fp_selected,0,1,0,0,0,[],,,,,,selected_final,accepted,c13-OxidizedLoop^2+ | 6.0 ppm | score=0.534 | css=0.837,-OxidizedLoop,0.5336435820608789,0.8365916936876329,0.8510951490933334,0.9742146989671866,4.0,0.6308576800694243,0.0,0.530203092403976,0.5164373321327915,2.8988044537856723,0.7093762868722865,0.666353341904322,33.33333333333333,4.192772490863182,0.00011268731268731267,5.9898101827585775,1,1,c13-OxidizedLoop^2+,ok,1,1,0.8365916936876329,0.8365916936876329,0.8510951490933334,5.9898101827585775,4.0,0.30629191217927554,0.0,1
RE12,12,c,14,2,c14^2+,0,manual_negative_only,1,0,1,0,0,"[""c14 2+""]",0.413,80.24,2.0,-0.331,0.24,trace_only,quality_gates,c14-OxidizedLoop^2+,-OxidizedLoop,0.47930334679243003,0.9190609268384629,0.9190609268384627,0.993488298243516,5.0,0.775,0.0,0.537,0.67,5.1,0.733,,16.7,,6.832167832167833e-05,1.0527224690683064,0,0,c14-OxidizedLoop^2+,ok,1,1,0.9190609268384629,0.9190609268384629,0.9190609268384627,1.0527224690683064,5.0,0.0926774571256127,0.0,1
RE12,12,c,15,2,c15^2+,0,fp_selected,0,1,0,0,0,[],,,,,,selected_final,accepted,c15-OxidizedLoop^2+ | 15.3 ppm | score=0.529 | css=0.961,-OxidizedLoop,0.5285783869957055,0.96086774512913,0.9069414237293725,0.8807760807078975,3.0,0.6288967132452811,0.0,0.4873853662047144,0.5140956282965666,8.09139675838403,0.708591371932797,0.9426521969973916,50.0,6.773809637804954,8.508491508491508e-05,15.279700701293315,1,1,c15-OxidizedLoop^2+,ok,1,1,0.96086774512913,0.96086774512913,0.9069414237293725,15.279700701293315,3.0,0.3087760871447159,0.0,1
RE12,12,c,23,3,c23^3+,0,fp_selected,0,1,0,0,0,[],,,,,,selected_final,accepted,c23-OxidizedLoop^3+ | 5.2 ppm | score=0.454 | css=0.771,-OxidizedLoop,0.4541885410305888,0.7708546582351682,0.7869803107147374,0.9009355408138612,4.0,0.5430442673400142,0.0,0.10305705601053228,0.9716707487275331,9.688849811715379,0.41302937209822393,0.5926531701953428,42.857142857142854,5.413986033261776,6.275724275724276e-05,5.214396890121275,1,1,c23-OxidizedLoop^3+,ok,1,1,0.7708546582351682,0.7708546582351682,0.7869803107147374,5.214396890121275,4.0,0.18475200870949196,1.0,1
RE12,12,c,24,1,c24^1+,0,fp_selected,0,1,0,0,0,[],,,,,,selected_final,accepted,c24-OxidizedLoop^1+ | 6.7 ppm | score=0.604 | css=0.852 | %H=100 | %2H=0 | -mix,-OxidizedLoop,0.6040940597921596,0.8524654823630856,0.4896920350201347,0.9907865367036399,6.0,0.6869477831716744,0.0,0.6884856256046447,314.07740016709914,2.7279953992271615,0.469719797264361,0.8250581231890479,14.285714285714285,3.852100871049017,0.034795204795204794,6.733851005072071,1,1,c24-OxidizedLoop^1+,failed_isodec_rules,0,0,,0.6320759670750634,0.6321182003453851,4.605301671203724,6.0,0.30142510134732403,0.0,1
